Step_EOC,Value_EOC,Step_OC,Value_OC
2110,0,4954,1
2112,0,4962,1
2116,0,4971,1
2119,0,4974,1
2121,0,4976,1
2123,0,4977,1
2124,0,5021,1
2134,0,5027,1
2135,0,5030,1
2139,0,5037,1
2142,0,5050,1
2145,0,5052,0
2146,0,5053,0
2149,0,5060,1
2150,0,5078,1
2152,0,5101,0
2157,0,5106,1
2158,0,5126,1
2165,0,5128,1
2166,0,5134,1
2170,0,5160,1
2172,0,5165,1
2174,0,5182,1
2178,0,5200,1
2188,0,5208,1
2190,0,5231,1
2192,0,5235,1
2193,1,5239,1
2197,0,5240,1
2200,0,5266,1
2208,0,5289,1
2212,0,5318,1
2215,0,5329,1
2226,0,5345,1
2230,0,5359,1
2232,0,5360,1
2235,1,5380,1
2237,0,5404,1
2238,1,5420,1
2240,0,5439,1
2242,0,5442,1
2243,1,5447,1
2245,1,5484,1
2247,0,5491,1
2248,0,5495,1
2252,0,5501,0
2255,0,5507,1
2258,0,5515,1
2263,1,5517,1
2275,0,5541,1
2279,0,5549,1
2282,0,5566,1
2292,0,5573,1
2298,0,5585,1
2299,0,5587,1
2301,0,5593,1
2304,0,5605,1
2307,0,5610,1
2308,0,5620,1
2309,0,5630,1
2319,0,5658,1
2320,0,5660,1
2321,0,5664,1
2323,1,5679,1
2335,0,5720,1
2336,0,5723,1
2337,0,5741,1
2338,0,5759,1
2346,0,5776,1
2355,0,5779,1
2372,0,5784,1
2386,0,5789,1
2389,0,5807,1
2390,1,5808,0
2391,1,5825,1
2393,0,5828,1
2401,0,5835,1
2403,0,5862,1
2405,0,5864,1
2407,0,5871,1
2417,0,5889,1
2425,0,5898,1
2426,0,5907,1
2437,0,5917,1
2445,0,5928,1
2451,0,5932,1
2452,0,5933,1
2454,0,5952,1
2456,0,5957,1
2461,0,5959,1
2480,0,5963,1
2482,0,5972,1
2486,0,5990,1
2487,0,6010,1
2497,0,6015,1
2499,0,6024,1
2502,0,6030,1
2503,0,6035,1
2504,0,6038,1
2514,0,6060,1
2515,0,6078,1
2518,0,6082,1
2520,0,6087,1
2524,0,6103,1
2526,0,6105,1
2529,0,6121,1
2531,0,6123,1
2533,0,6129,1
2535,0,6131,1
2544,0,6133,1
2548,0,6145,1
